,Afstemningsid,Parti,For/imod/hverken
0,1,V,For
1,1,S,For
2,1,DF,For
3,1,RV,For
4,1,SF,For
5,1,EL,For
6,1,LA,For
7,1,KF,For
8,1,UFG,For
9,2,V,For
10,2,S,For
11,2,DF,For
12,2,RV,For
13,2,SF,For
14,2,EL,For
15,2,LA,Imod
16,2,KF,Imod
17,3,S,For
18,3,RV,For
19,3,SF,For
20,3,EL,For
21,3,V,Imod
22,3,DF,Imod
23,3,LA,Imod
24,3,KF,Imod
25,4,S,For
26,4,DF,For
27,4,RV,For
28,4,SF,For
29,4,EL,For
30,4,LA,Imod
31,4,KF,Imod
32,4,V,Hverken
33,5,V,For
34,5,S,For
35,5,DF,For
36,5,RV,For
37,5,SF,For
38,5,EL,For
39,5,LA,Imod
40,5,KF,Imod
41,6,V,For
42,6,S,For
43,6,DF,For
44,6,RV,For
45,6,SF,For
46,6,EL,For
47,6,LA,For
48,6,KF,For
49,6,UFG,For
50,7,KF,For
51,7,S,Imod
52,7,RV,Imod
53,7,SF,Imod
54,7,EL,Imod
55,7,V,Hverken
56,7,DF,Hverken
57,7,LA,Hverken
58,8,SF,For
59,8,EL,For
60,8,V,Imod
61,8,S,Imod
62,8,RV,Imod
63,8,LA,Imod
64,8,KF,Imod
65,8,DF,Hverken
66,9,S,For
67,9,RV,For
68,9,SF,For
69,9,EL,For
70,9,KF,For
71,9,V,Imod
72,9,LA,Imod
73,9,DF,Hverken
74,10,S,For
75,10,DF,For
76,10,RV,For
77,10,SF,For
78,10,EL,For
79,10,V,Imod
80,10,KF,Imod
81,10,LA,Hverken
82,11,V,For
83,11,S,For
84,11,DF,For
85,11,RV,For
86,11,SF,For
87,11,EL,For
88,11,KF,For
89,11,LA,Imod
90,11,Stine Brix (EL),Hverken
91,11,Christian Juhl (EL),Hverken
92,11,Jørgen Arbo-Bæhr (EL),Hverken
93,12,DF,For
94,12,EL,For
95,12,LA,For
96,12,V,Imod
97,12,S,Imod
98,12,RV,Imod
99,12,SF,Imod
100,12,KF,Imod
101,13,V,For
102,13,DF,For
103,13,LA,For
104,13,KF,For
105,13,S,Imod
106,13,RV,Imod
107,13,SF,Imod
108,13,EL,Imod
109,14,V,For
110,14,DF,For
111,14,LA,For
112,14,KF,For
113,14,S,Imod
114,14,RV,Imod
115,14,SF,Imod
116,14,EL,Imod
117,15,V,For
118,15,DF,For
119,15,LA,For
120,15,KF,For
121,15,S,Imod
122,15,RV,Imod
123,15,SF,Imod
124,15,EL,Imod
125,16,EL,For
126,16,LA,For
127,16,V,Imod
128,16,S,Imod
129,16,DF,Imod
130,16,RV,Imod
131,16,SF,Imod
132,16,KF,Imod
133,17,EL,For
134,17,V,Imod
135,17,S,Imod
136,17,DF,Imod
137,17,RV,Imod
138,17,SF,Imod
139,17,LA,Imod
140,17,KF,Imod
141,18,V,For
142,18,DF,For
143,18,LA,For
144,18,KF,For
145,18,S,Imod
146,18,RV,Imod
147,18,SF,Imod
148,18,EL,Imod
149,19,EL,For
150,19,LA,For
151,19,V,Imod
152,19,S,Imod
153,19,DF,Imod
154,19,RV,Imod
155,19,SF,Imod
156,19,KF,Imod
157,20,V,For
158,20,DF,For
159,20,LA,For
160,20,KF,For
161,20,S,Imod
162,20,RV,Imod
163,20,SF,Imod
164,20,EL,Imod
165,21,DF,For
166,21,SF,For
167,21,EL,For
168,21,V,Imod
169,21,S,Imod
170,21,RV,Imod
171,21,LA,Imod
