11,Forslag til direktiv om de retlige rammer for toldovertrædelser og -sanktioner,2025-03-07 14:59:13.787,7
21,Forslag til direktiv om kloning af dyr,2025-03-07 14:26:15.850,7
22,Forslag til direktiv om markedsføring af fødevarer fra dyrekloner,2025-03-07 14:27:39.673,7
80,Om den sikkerhedspolitiske redegørelse 2013.,2025-03-31 10:50:10.817,11
166,"Om EU, Israel og Vestbredden.",2025-04-01 16:14:31.343,2
170,Om at anerkende Den Saharawiske Arabiske Demokratiske Republik (Vestsahara) som en selvstændig stat.,2025-03-28 13:38:17.227,5
251,Om oversættelse af verbalnote om dansk-kinesiske forhold.,2025-03-28 13:36:56.423,5
363,Forslag til forordning om forurenende emissioner fra vejkøretøjer,2025-03-07 14:47:59.713,7
691,Om udlændige og velfærdsydelser.,2024-03-14 09:04:32.977,9
693,Om udlændinge og velfærdsydelser.,2024-03-14 09:03:31.990,9
694,Om udlændinge og velfærdsydelser.,2024-03-14 09:03:49.817,9
697,Om udlændinge og velfærdsydelser.,2024-03-14 09:04:19.463,9
915,Om anden del af FN's klimapanels femte hovedrapport om effekten af klimaforandringer.,2025-04-01 16:13:31.267,2
1027,Forslag til forordning om personlige værnemidler,2023-04-14 14:53:58.550,7
1142,Om den indenrigs- og udenrigspolitiske situation.,2025-04-01 16:12:18.580,2
1545,Forslag til forordning om etablering af en kontrolansvarlig for processuelle garantier,2025-03-07 10:26:33.853,7
1616,"Forslag til direktiv om deponering af affald  ",2023-01-04 14:01:13.717,7
1704,Om anerkendelse af en selvstændig palæstinensisk stat.,2025-03-28 13:41:01.140,5
1737,Om retstilstanden i Kommunistkina.,2025-04-01 16:16:20.553,2
1794,Om er EU i flere hastigheder.,2024-03-14 09:02:52.307,9
1804,Om et EU i flere hastigheder.,2024-03-14 09:03:18.630,9
2028,Om akkreditering af videregående uddannelsesinstitutioner.,2024-10-28 14:35:35.353,3
2123,Forslag til DIREKTIV om interoperabilitet i jernbanesystemerne,2023-03-16 11:07:33.610,7
2124,Forslag til Direktiv om jernbanesikkerhed (Sikkerhedsdirektivet),2023-03-16 11:05:33.387,7
2559,Forslag om markedsovervågning af produkter,2025-03-07 14:50:27.260,7
2729,Forslag til forordning om kompensation og bistand til luftfartspassagerer ved boardingafvisning og forsinkelser (Flypassagerrettighedsforordningen),2025-04-11 14:57:58.367,7
2777,Om kritik af udviklingen i Ungarn.,2025-03-28 13:39:23.507,5
2861,Forslag til forordning om Europol,2025-01-24 13:42:44.427,7
2927,Forslag til afgørelse om at bemyndige ratifikation af ILO- 2011-konvention om ordentlige arbejdsforhold for husarbejdere (konvention nr. 189),2023-09-05 13:34:30.647,7
