,afstemningsid,parti,stemme
0,8844,S,For
1,8844,Ellen Trane Nørby (V),For
2,8844,SF,For
3,8844,RV,For
4,8844,EL,For
5,8844,KF,For
6,8844,DF,For
7,8844,FG,For
8,8844,ALT,For
9,8844,UFG,For
10,8844,V,Hverken
11,8844,NB,Hverken
12,8844,LA,Hverken
13,9002,S,For
14,9002,V,For
15,9002,M,For
16,9002,SF,For
17,9002,DD,For
18,9002,LA,For
19,9002,KF,For
20,9002,EL,For
21,9002,RV,For
22,9002,ALT,For
23,9002,NB,For
24,9002,DF,For
25,9002,IA,For
26,9002,SP,For
27,9002,JF,For
28,9003,S,For
29,9003,V,For
30,9003,M,For
31,9003,SF,For
32,9003,DD,For
33,9003,LA,For
34,9003,KF,For
35,9003,EL,For
36,9003,RV,For
37,9003,ALT,For
38,9003,NB,For
39,9003,DF,For
40,9003,UFG,For
41,9004,S,For
42,9004,V,For
43,9004,M,For
44,9004,SF,For
45,9004,DD,For
46,9004,LA,For
47,9004,KF,For
48,9004,EL,For
49,9004,RV,For
50,9004,ALT,For
51,9004,NB,For
52,9004,DF,For
53,9004,UFG,For
54,9005,SF,For
55,9005,EL,For
56,9005,RV,For
57,9005,ALT,For
58,9005,S,Imod
59,9005,V,Imod
60,9005,M,Imod
61,9005,DD,Imod
62,9005,LA,Imod
63,9005,KF,Imod
64,9005,NB,Imod
65,9005,DF,Imod
66,9006,S,For
67,9006,V,For
68,9006,M,For
69,9006,SF,For
70,9006,DD,For
71,9006,LA,For
72,9006,KF,For
73,9006,EL,For
74,9006,RV,For
75,9006,ALT,For
76,9006,NB,For
77,9006,DF,For
78,9007,S,For
79,9007,V,For
80,9007,M,For
81,9007,SF,For
82,9007,DD,For
83,9007,LA,For
84,9007,KF,For
85,9007,EL,For
86,9007,RV,For
87,9007,ALT,For
88,9007,DF,For
89,9007,NB,Hverken
90,9008,S,For
91,9008,V,For
92,9008,M,For
93,9008,SF,For
94,9008,EL,For
95,9008,ALT,For
96,9008,DF,For
97,9008,DD,Imod
98,9008,LA,Imod
99,9008,KF,Imod
100,9008,NB,Imod
101,9008,RV,Hverken
102,9009,S,For
103,9009,V,For
104,9009,M,For
105,9009,SF,For
106,9009,EL,For
107,9009,ALT,For
108,9009,DF,For
109,9009,DD,Imod
110,9009,LA,Imod
111,9009,KF,Imod
112,9009,RV,Imod
113,9009,NB,Imod
114,9010,S,For
115,9010,V,For
116,9010,M,For
117,9010,SF,For
118,9010,DD,For
119,9010,LA,For
120,9010,KF,For
121,9010,EL,For
122,9010,RV,For
123,9010,ALT,For
124,9010,DF,For
125,9010,NB,Imod
126,9011,S,For
127,9011,V,For
128,9011,M,For
129,9011,SF,For
130,9011,DD,For
131,9011,LA,For
132,9011,KF,For
133,9011,EL,For
134,9011,RV,For
135,9011,ALT,For
136,9011,DF,For
137,9011,NB,Hverken
138,9012,S,For
139,9012,V,For
140,9012,M,For
141,9012,SF,For
142,9012,DD,For
143,9012,LA,For
144,9012,KF,For
145,9012,EL,For
146,9012,RV,For
147,9012,ALT,For
148,9012,DF,For
149,9012,NB,Imod
150,9013,S,For
151,9013,V,For
152,9013,M,For
153,9013,SF,For
154,9013,DD,For
155,9013,LA,For
156,9013,KF,For
157,9013,EL,For
158,9013,RV,For
159,9013,ALT,For
160,9013,NB,For
161,9013,DF,For
162,9014,S,For
163,9014,V,For
164,9014,M,For
165,9014,SF,For
166,9014,DD,For
167,9014,LA,For
168,9014,KF,For
169,9014,EL,For
170,9014,RV,For
171,9014,DF,For
172,9014,NB,Imod
173,9014,ALT,Hverken
174,9015,S,For
175,9015,V,For
176,9015,M,For
177,9015,SF,For
178,9015,DD,For
179,9015,LA,For
180,9015,KF,For
181,9015,EL,For
182,9015,RV,For
183,9015,NB,For
184,9015,DF,For
185,9015,ALT,Imod
186,9016,S,For
187,9016,V,For
188,9016,M,For
189,9016,SF,For
190,9016,DD,For
191,9016,LA,For
192,9016,KF,For
193,9016,EL,For
194,9016,RV,For
195,9016,ALT,For
196,9016,NB,For
197,9016,DF,For
198,9017,S,For
199,9017,V,For
200,9017,M,For
201,9017,SF,For
202,9017,DD,For
203,9017,LA,For
204,9017,KF,For
205,9017,EL,For
206,9017,RV,For
207,9017,ALT,For
208,9017,NB,For
209,9017,DF,For
210,9018,DD,For
211,9018,LA,For
212,9018,KF,For
213,9018,DF,For
214,9018,S,Imod
215,9018,V,Imod
216,9018,M,Imod
217,9018,SF,Imod
218,9018,EL,Imod
219,9018,RV,Imod
220,9018,ALT,Imod
221,9018,SP,Imod
222,9019,DD,For
223,9019,LA,For
224,9019,KF,For
225,9019,DF,For
226,9019,S,Imod
227,9019,V,Imod
228,9019,M,Imod
229,9019,SF,Imod
230,9019,EL,Imod
231,9019,RV,Imod
232,9019,ALT,Imod
233,9019,SP,Imod
234,9020,DD,For
235,9020,LA,For
236,9020,KF,For
237,9020,DF,For
238,9020,S,Imod
239,9020,V,Imod
240,9020,M,Imod
241,9020,SF,Imod
242,9020,EL,Imod
243,9020,RV,Imod
244,9020,ALT,Imod
245,9020,SP,Imod
246,9021,DD,For
247,9021,LA,For
248,9021,KF,For
249,9021,DF,For
250,9021,S,Imod
251,9021,V,Imod
252,9021,M,Imod
253,9021,SF,Imod
254,9021,EL,Imod
255,9021,RV,Imod
256,9021,ALT,Imod
257,9021,SP,Imod
258,9022,S,For
259,9022,V,For
260,9022,M,For
261,9022,DD,For
262,9022,LA,For
263,9022,KF,For
264,9022,RV,For
265,9022,DF,For
266,9022,SP,For
267,9022,SF,Imod
268,9022,EL,Imod
269,9022,ALT,Imod
270,9023,DD,For
271,9023,LA,For
272,9023,KF,For
273,9023,DF,For
274,9023,ALT,For
275,9023,NB,For
276,9023,S,Imod
277,9023,V,Imod
278,9023,M,Imod
279,9023,SF,Imod
280,9023,EL,Imod
281,9023,RV,Imod
282,9024,S,For
283,9024,V,For
284,9024,M,For
285,9024,SF,For
286,9024,DD,For
287,9024,LA,For
288,9024,KF,For
289,9024,EL,For
290,9024,RV,For
291,9024,DF,For
292,9024,ALT,For
293,9024,NB,For
294,9025,S,For
295,9025,V,For
296,9025,M,For
297,9025,SF,For
298,9025,DD,For
299,9025,LA,For
300,9025,KF,For
301,9025,EL,For
302,9025,RV,For
303,9025,DF,For
304,9025,ALT,For
305,9025,NB,For
306,9026,SF,For
307,9026,DD,For
308,9026,LA,For
309,9026,KF,For
310,9026,EL,For
311,9026,DF,For
312,9026,ALT,For
313,9026,NB,For
314,9026,S,Imod
315,9026,V,Imod
316,9026,M,Imod
317,9026,RV,Imod
318,9027,SF,For
319,9027,DD,For
320,9027,EL,For
321,9027,DF,For
322,9027,ALT,For
323,9027,NB,For
324,9027,S,Imod
325,9027,V,Imod
326,9027,M,Imod
327,9027,LA,Imod
328,9027,KF,Imod
329,9027,RV,Imod
330,9028,SF,For
331,9028,DD,For
332,9028,LA,For
333,9028,KF,For
334,9028,EL,For
335,9028,DF,For
336,9028,ALT,For
337,9028,NB,For
338,9028,S,Imod
339,9028,V,Imod
340,9028,M,Imod
341,9028,RV,Imod
342,9029,S,For
343,9029,V,For
344,9029,M,For
345,9029,RV,For
346,9029,SF,Imod
347,9029,DD,Imod
348,9029,LA,Imod
349,9029,KF,Imod
350,9029,EL,Imod
351,9029,DF,Imod
352,9029,ALT,Imod
353,9029,NB,Imod
354,9030,SF,For
355,9030,EL,For
356,9030,DF,For
357,9030,NB,For
358,9030,S,Imod
359,9030,V,Imod
360,9030,M,Imod
361,9030,DD,Imod
362,9030,LA,Imod
363,9030,KF,Imod
364,9030,RV,Imod
365,9030,ALT,Hverken
366,9031,S,For
367,9031,V,For
368,9031,M,For
369,9031,SF,For
370,9031,DD,For
371,9031,LA,For
372,9031,KF,For
373,9031,EL,For
374,9031,RV,For
375,9031,DF,For
376,9031,ALT,For
377,9031,NB,For
378,9032,S,For
379,9032,V,For
380,9032,M,For
381,9032,SF,For
382,9032,DD,For
