,id,nummer,konklusion,vedtaget,kommentar,mødeid,typeid,sagstrinid,opdateringsdato
0,1,411,"Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",True,,17,2,,2014-09-09T09:05:59.653
1,2,412,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

",True,,18,1,4849.0,2014-09-09T09:25:05.717
2,3,1,"Vedtaget

59 stemmer for forslaget (S, RV, SF, EL)

54 stemmer imod forslaget (V, DF, LA, KF)

0 stemmer hverken for eller imod forslaget

",True,,41,3,17351.0,2018-01-24T16:46:33.99
3,4,7,"Vedtaget

72 stemmer for forslaget (S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

26 stemmer hverken for eller imod forslaget (V)

",True,,156,1,18370.0,2018-01-25T10:25:25.64
4,5,412,"Vedtaget

98 stemmer for forslaget (V, S, DF, RV, SF, EL)

10 stemmer imod forslaget (LA, KF)

0 stemmer hverken for eller imod forslaget

",True,,18,1,4849.0,2017-08-10T12:57:52.27
5,6,410,"
Vedtaget

104 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",True,,15,1,16581.0,2017-08-10T12:57:52.257
6,7,408,"
          Forkastet

          4 stemmer for forslaget (KF)

          57 stemmer imod forslaget (S, RV, SF, EL)

          45 stemmer hverken for eller imod forslaget (V, DF, LA)

        ",False,,962,1,3311.0,2017-08-10T12:57:52.247
7,8,407,"
Forkastet

16 stemmer for forslaget (SF, EL)

77 stemmer imod forslaget (V, S, RV, LA, KF)

13 stemmer hverken for eller imod forslaget (DF)

",False,,962,1,3220.0,2017-08-10T12:57:52.247
8,9,404,"
Vedtaget

59 stemmer for forslaget (S, RV, SF, EL, KF)

33 stemmer imod forslaget (V, LA)

13 stemmer hverken for eller imod forslaget (DF)

",True,,962,1,4856.0,2017-08-10T12:57:52.237
9,10,405,"
Vedtaget

70 stemmer for forslaget (S, DF, RV, SF, EL)

33 stemmer imod forslaget (V, KF)

5 stemmer hverken for eller imod forslaget (LA)

",True,,962,1,2500.0,2017-08-10T12:57:52.237
10,11,406,"
Vedtaget

102 stemmer for forslaget (V, S, DF, RV, SF, EL, KF)

5 stemmer imod forslaget (LA)

3 stemmer hverken for eller imod forslaget (Stine Brix (EL), Christian Juhl (EL), Jørgen Arbo-Bæhr (EL))

",True,,962,1,3939.0,2017-08-10T12:57:52.24
11,12,400,"
          Forkastet

          26 stemmer for forslaget (DF, EL, LA)

          81 stemmer imod forslaget (V, S, RV, SF, KF)

          0 stemmer hverken for eller imod forslaget

        ",False,,962,1,15432.0,2017-08-10T12:57:52.23
12,13,401,"
Forkastet

51 stemmer for forslaget (V, DF, LA, KF)

56 stemmer imod forslaget (S, RV, SF, EL)

0 stemmer hverken for eller imod forslaget

",False,,962,1,2808.0,2017-08-10T12:57:52.23
