,id,titel,lokale,nummer,dagsordenurl,starttidsbemærkning,offentlighedskode,dato,statusid,typeid,periodeid,opdateringsdato
0,1,Møde i REU den 8/9-14,2-080,,,11.00,O,2014-09-08T11:00:00,2,2,32,2014-11-12T09:14:16.883
1,2,MIU - Ekspertmøde om EU´s affaldsdirektiv,1-133,,,Kl. 10.30,O,2014-09-25T10:30:00,2,2,32,2014-09-30T13:02:16.317
2,3,MIU - Dep. - Åbent samråd (AL),2-080,,,Kl. 10.00,O,2014-09-18T10:00:00,2,2,32,2014-11-12T09:14:58.773
3,4,Møde den 9/9-14,1-008,,,13.15,O,2014-09-09T13:15:00,2,2,32,2014-11-12T09:11:53.447
4,5,Møde i REU den 9/9-14,S-092,,,15.00,O,2014-09-09T15:00:00,2,2,32,2014-09-19T14:46:22.96
5,6,MIU - åbent samråd,1-133,,,Kl. 10.00,O,2014-08-28T10:00:00,2,2,32,2014-09-05T11:46:31.463
6,7,MIU - Åbent samråd (AC + AD),1-133,,,kl. 13.00,O,2014-09-02T13:00:00,2,2,32,2014-09-05T11:49:21.07
7,8,MIU - FFL 2015,2-078,,,Kl. 9.00,O,2014-09-03T09:00:00,2,2,32,2014-09-05T11:58:12.54
8,9,Skatteudvalget,1-133,,,Kl. 11.00,O,2014-09-08T11:00:00,2,2,32,2014-11-12T09:15:48.947
9,10,"Erhvervs-, Vækst- og Eksportudvalget - åbent samråd",2-080,,,kl. 14.00,O,2014-09-14T14:00:00,3,2,32,2014-09-19T14:46:29.883
10,11,"Klima-, Energi- og Bygningsudvalget",2-080,,,kl. 10.00,O,2014-09-30T10:00:00,3,2,32,2014-09-25T15:42:22.437
11,12,"Klima-, Energi- og Bygningsudvalget - dep.",2-141,,,kl. 10.30,O,2014-09-04T10:30:00,2,2,32,2014-09-05T13:44:19.617
12,13,UVP-møde,1-009,,,Kl. 7.50,O,2014-09-09T07:50:00,1,2,32,2014-09-19T14:46:32.177
13,14,By- og Boligudvalget,1-133,,,8.30,O,2014-09-18T08:30:00,2,2,32,2014-11-12T09:15:32.743
14,15,Møde i salen,,103,,,O,2014-08-27T17:00:00,2,1,32,2014-09-19T14:46:10.82
15,16,Møde i Udenrigsudvalget,Vær. 2-080,,,Kl. 13.00,O,2014-09-02T13:00:00,2,2,32,2014-09-19T14:45:54.553
16,17,Møde i salen,,104,,,O,2014-09-09T09:00:00,2,1,32,2014-11-12T09:08:46.54
17,18,Møde i salen,,105,,5 min. efter afslutningen af møde nr. 104,O,2014-09-09T09:15:00,2,1,32,2014-11-12T09:11:13.353
18,19,BEU | Åbent samråd,2-080,34,,kl. 14.00,O,2014-10-02T14:00:00,2,2,32,2014-10-03T08:30:48.837
19,20,Møde i FIU (52),Landstingssalen,52,,Kl. 14.00,O,2014-09-18T14:00:00,2,2,32,2014-11-12T09:15:44.197
20,21,Møde i FIU (51),Landstingssalen,51,,Kl. 10.30,O,2014-09-18T10:30:00,2,2,32,2014-09-19T14:46:39.587
21,22,Møde i FIU (53),2-011,53,,Kl. 13.00,O,2014-10-02T13:00:00,2,2,32,2014-10-06T11:58:44.69
22,23,Transportudvalget,1-133,,,kl. 11.00,O,2014-09-10T11:00:00,2,2,32,2014-11-12T09:12:14.51
23,24,FOU 18-9-14 (åbent samråd),2-133,,,kl. 14.00,O,2014-09-18T14:00:00,2,2,32,2014-11-12T09:16:55.807
24,25,FLF - 10-9-14 - (åbent samråd),1-133,,,kl. 14.00,O,2014-09-10T14:00:00,2,2,32,2014-11-12T09:13:53.15
25,26,Kommunaludvalget,1-133,,,kl. 11.00,O,2014-10-03T11:00:00,2,2,32,2014-11-12T09:17:00.523
26,27,Møde i FIU (50),2-011,50,,Kl. 13.30,O,2014-09-11T13:30:00,2,2,32,2014-11-12T09:15:39.507
27,28,FLF - 1-10-14 (dep. + åbent samråd),2-080,,,kl. 14.00,O,2014-10-01T14:00:00,2,2,32,2014-11-12T09:17:16.367
28,29,Møde i UUI,2-080,,,kl. 11.30,O,2014-10-01T11:30:00,2,2,32,2014-11-12T09:17:22.867
29,30,Møde i UUI,1-133,,,kl. 15.00,O,2014-10-02T15:00:00,2,2,32,2014-11-12T09:17:27.587
30,31,Møde i EUU ,2-133,38,,Kl. 10.00,O,2014-09-19T10:00:00,2,2,32,2014-11-12T09:17:51.587
31,32,FIV 18/9-14 (samråd - åbent samråd),S-092 (af hensyn til lydoptagelse af det åbne samråd),,,Kl. 14.00,O,2014-09-18T14:00:00,1,2,32,2014-09-12T14:55:32.52
32,33,"Klima-, Energi- og Bygningsudvalget - åbent samråd",2-080,,,kl. 8.00,O,2014-09-17T08:00:00,2,2,32,2014-11-12T09:18:00.397
33,34,Møde i REU d. 16/9-14,1-133,,,15.00,O,2014-09-16T15:00:00,2,2,32,2014-11-12T09:12:02.18
34,35,ULØ - 16-9-14 (dep.),1-133,,,kl. 10.00,O,2014-09-16T10:00:00,2,2,32,2014-11-12T09:14:33.477
35,36,Socialudvalget,2-141,,,Kl. 11.45,O,2014-09-17T11:45:00,2,2,32,2014-11-12T09:18:11.147
36,37,Mødet er aflyst: Socialudvalget | åbent samråd,2-080,,,kl. 15.45,O,2014-10-02T15:45:00,3,2,32,2014-11-12T09:14:18.117
37,39,Møde i salen,,1,,12.00,O,2012-10-02T12:00:00,2,1,31,2023-03-09T11:47:45.197
38,40,Møde i salen,,2,,13.00,O,2012-10-03T13:00:00,2,1,31,2023-03-09T11:47:45.23
39,41,Møde i salen,,3,,10.00,O,2012-10-04T10:00:00,2,1,31,2023-03-09T11:47:45.12
40,42,Møde i salen,,4,,13.00,O,2012-10-09T13:00:00,2,1,31,2023-03-09T11:47:45.073
41,43,Møde i REU,2-080,1,,kl. 8.00,O,2012-10-04T08:00:00,2,2,31,2023-01-27T08:36:18.397
42,44,FIV - 4/10-12 (nr. 1) ,2-141,1,,"5 min. efter afslutningen af mødet i Salen, dog tidligst kl. 12.00",O,2012-10-04T00:00:00,2,2,31,2023-01-26T12:45:26.14
43,51,KOU 4/10-12,1-133,1,,Kl. 7:00,O,2012-10-04T07:00:00,2,2,31,2023-01-27T08:39:50.4
44,52,Møde i Europaudvalget,,1,,kl. 10.00,O,2012-10-05T10:00:00,2,2,31,2016-01-06T16:23:35.977
45,60,Møde i salen,,5,,13.00,O,2012-10-10T13:00:00,2,1,31,2023-03-09T11:47:07.727
46,61,Møde i salen,,6,,10.00,O,2012-10-11T10:00:00,2,1,31,2023-03-09T11:47:07.82
47,62,Møde i salen,,7,,13.00,O,2012-10-23T13:00:00,2,1,31,2023-03-09T11:47:07.697
48,63,Møde i salen,,8,,13.00,O,2012-10-24T13:00:00,2,1,31,2023-03-09T11:47:07.667
49,64,Møde i salen,,9,,10.00,O,2012-10-25T10:00:00,2,1,31,2023-03-09T11:47:07.633
50,65,Møde i salen,,10,,10.00,O,2012-10-26T10:00:00,2,1,31,2023-03-09T11:47:07.587
51,66,Møde i salen,,12,,10.00,O,2012-11-01T10:00:00,2,1,31,2023-03-09T11:46:28.04
52,67,Møde i salen,,13,,10.00,O,2012-11-02T10:00:00,2,1,31,2023-03-09T11:46:27.947
53,68,Møde i salen,,16,,13.00,O,2012-11-07T13:00:00,2,1,31,2023-03-09T11:46:27.73
54,69,Møde i salen,,14,,13.00,O,2012-11-06T13:00:00,2,1,31,2023-03-09T11:46:27.9
55,70,Møde i salen,,18,,13.00,O,2012-11-13T13:00:00,2,1,31,2023-03-09T11:45:32.997
56,71,Møde i salen,,17,,10.00,O,2012-11-08T10:00:00,2,1,31,2023-03-09T11:46:27.837
57,72,Møde i salen,,19,,13.00,O,2012-11-14T13:00:00,2,1,31,2023-03-09T11:45:32.95
58,77,Møde i salen,,20,,10.00,O,2012-11-15T10:00:00,2,1,31,2023-03-09T11:45:06.63
59,78,Møde i salen,,21,,10.00,O,2012-11-16T10:00:00,2,1,31,2023-03-09T11:45:06.787
60,79,Møde i salen,,22,,13.00,O,2012-11-20T13:00:00,2,1,31,2023-03-09T11:45:06.52
61,80,Møde i salen,,23,,13.00,O,2012-11-21T13:00:00,2,1,31,2023-03-09T11:45:06.597
62,81,Møde i salen,,24,,10.00,O,2012-11-22T10:00:00,2,1,31,2023-03-09T11:45:06.567
63,82,Møde i salen,,26,,12.00,O,2012-11-27T12:00:00,2,1,31,2023-03-09T11:45:05.06
64,83,Møde i salen,,25,,10.00,O,2012-11-23T10:00:00,2,1,31,2023-03-09T11:45:05.497
65,84,Møde i salen,,28,,10.00,O,2012-11-29T10:00:00,2,1,31,2023-03-09T11:44:14.433
66,85,Møde i salen,,27,,13.00,O,2012-11-28T13:00:00,2,1,31,2023-03-09T11:45:04.997
67,87,Møde i salen,,29,,10.00,O,2012-11-30T10:00:00,2,1,31,2023-03-09T11:44:14.307
68,107,Møde i Europaudvalget,Vær. 2-133,4,,"5 min. efter mødet i UPN, dog tidl. kl. 10.45",O,2012-10-25T00:00:00,2,2,31,2016-01-06T16:23:36.21
69,109,Møde i Europaudvalget,Vær. 2-133,5,,Kl. 10.00,O,2012-10-26T10:00:00,2,2,31,2016-01-06T16:23:36.163
70,110,KEB - 10/10-12,2-080,1,,kl. 13.00,O,2012-10-10T13:00:00,2,2,31,2023-01-27T08:24:44.767
71,115,Møde i Europaudvalget,værelse 2-133,2,,Kl. 10.00,O,2012-10-12T10:00:00,2,2,31,2016-01-06T16:23:36.04
72,128,Møde i Europaudvalget,Vær. 2-133,3,,"5 minutter efter mødet i UPN, dog tidligst kl. 8.30",O,2012-10-17T00:00:00,2,2,31,2016-01-06T16:23:36.117
73,134,Møde i salen,,11,,13.00,O,2012-10-30T13:00:00,4,1,31,2016-01-06T16:23:36.257
74,156,Møde i salen,,15,,Mødet starter umiddelbart efter møde 14 er slut.,O,2012-11-06T00:00:00,2,1,31,2023-03-09T11:46:27.79
