,id,typeid,kategoriid,statusid,titel,titelkort,offentlighedskode,nummer,nummerprefix,nummernumerisk,nummerpostfix,resume,afstemningskonklusion,periodeid,afgørelsesresultatkode,baggrundsmateriale,opdateringsdato,statsbudgetsag,begrundelse,paragrafnummer,paragraf,afgørelsesdato,afgørelse,rådsmødedato,lovnummer,lovnummerdato,retsinformationsurl,fremsatundersagid,deltundersagid
0,1,4,2.0,8,FIU alm. del,FIU alm. del,O,,,,,,,32,,,2014-09-30T14:56:24.673,True,,,,,,,,,,,
1,2,10,11.0,20,"Er ministeren enig i vurderingen af, at grønlandske mineralprojekter vækker interesse i udlandet, og kan ministeren i denne forbindelse garantere, at der ikke er foregået NSA-aflytninger eller aflytninger fra andre interessenter af grønlandske politikere og embedsfolk?",Om NSA-aflytninger eller aflytninger fra andre interessenter af grønlandske politikere og embedsfolk.,O,S 725,S,725,,,,32,,,2017-12-05T19:42:22.857,False,Ingen.,,,,,,,,,,
2,3,10,11.0,20,"Hvad agter ministeren at foretage sig, så kostskoler m.m. fortsat har mulighed for at bortvise elever, der har indtaget ulovlige stoffer, og som ikke er synligt påvirkede?","Om at bortvise elever, der har indtaget ulovlige stoffer.",O,S 726,S,726,,,,32,,,2017-12-05T19:43:50.82,False,Der henvises til Folketingets Ombudsmands udtalelse nr. 24 fra 2013 »HF-elev bortvist fra uddannelsesforløb og tilhørende kostafdeling som følge af adfærd i fritiden«. Udtalelsen er tilgængelig på www.ombudsmanden.dk.,,,,,,,,,,
3,4,7,,54,Forslag til Europa-Parlamentets og Rådets afgørelse om makrofinansiel bistand til Den Tunesiske Republik,Forslag til Europa-Parlamentets og Rådets afgørelse om makrofinansiel bistand til Den Tunesiske Republik,O,KOM (2013) 0860,KOM,860,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave  
den&nbsp;16. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen  
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse   
<strong>udløb&nbsp;ifølge IPEX&nbsp;10. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164314.docid"">Læs</a> 
Kommissionens fremsendelsesbrev    
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:00:59.313,False,,,,,,,,,,,
4,5,7,,54,"Forslag til Rådets afgørelse om bemyndigelse af Frankrig til at anvende en reduceret sats for visse indirekte skatter på ""traditionel"" rom fremstillet i Guadeloupe, Fransk Guyana, Martinique eller Réunion og om ændring af beslutning 2007/659/EF","Forslag til Rådets afgørelse om bemyndigelse af Frankrig til at anvende en reduceret sats for visse indirekte skatter på ""traditionel"" rom fremstillet i Guadeloupe, Fransk Guyana, Martinique eller Réunion og om ændring af beslutning 2007/659/EF",O,KOM (2013) 0839,KOM,839,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave  
 den&nbsp;17. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen   
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse    
<strong>udløb&nbsp;ifølge IPEX&nbsp;11. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164338.docid"">Læs</a> 
Kommissionens fremsendelsesbrev     
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:00:59.487,False,,,,,,,,,,,
5,6,7,,54,"Forslag til Europa-Parlamentets og Rådets direktiv om styrkelse af visse aspekter af uskyldsformodningen og retten til at være til stede under retssagen i straffesager {SWD(2013) 478 final}
{SWD(2013) 479 final}
{SWD(2013) 500 final}",Forslag til direktiv om uskyldsformodningen og retten til at være til stede under retssagen i straffesager,O,KOM (2013) 0821,KOM,821,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
den&nbsp;18. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen </strong>på 
8 uger for fremsendelse af Folketingets begrundede udtalelse 
<strong>udløb&nbsp;ifølge IPEX&nbsp;12. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164371.docid"">Læs</a> 
Kommissionens fremsendelsesbrev  
</p>

</div>

</div>

</div>",,14,,,2017-11-24T14:34:17.527,False,,,,,,,,,,,
6,7,7,,54,"Forslag til Europa-Parlamentets og Rådets direktiv om retssikkerhedsgarantier for børn, der er mistænkt eller tiltalt i straffesager","Forslag til Europa-Parlamentets og Rådets direktiv om retssikkerhedsgarantier for børn, der er mistænkt eller tiltalt i straffesager",O,KOM (2013) 0822,KOM,822,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
 den&nbsp;18. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen 
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb&nbsp;ifølge IPEX&nbsp;12. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164372.docid"">Læs</a> 
Kommissionens fremsendelsesbrev   
</p>

</div>

</div>

</div>",,14,,,2016-10-28T09:50:00.633,False,,,,,,,,,,,
7,8,10,11.0,20,"Mener ministeren, at det er fair, at det offentlige på den ene side stiller krav til borgere og virksomheder om at skulle kunne kommunikere digitalt med det offentlige, når det offentlige ikke selv giver mulighed for digital kommunikation, som det er tilfældet med den manglende mulighed for digital aftaleindgåelse om NemID medarbejdersignatur for andre virksomheder end personligt ejede?",Om digital kommunikation.,O,S 727,S,727,,,,32,,,2017-12-05T19:44:13.533,False,Ingen.,,,,,,,,,,
8,9,10,11.0,20,"Mener ministeren, at det vil være en god ide at udbygge Det Centrale Virksomhedsregister, så det bliver muligt at implementere digital aftaleindgåelse om NemID medarbejdersignatur for alle virksomhedstyper på trods af, at det ikke er en del af den fællesoffentlige digitaliseringsstrategi for 2011-2015, og agter ministeren i så fald at tage initiativ hertil?",Om at udbygge Det Centrale Virksomhedsregister.,O,S 728,S,728,,,,32,,,2017-12-05T19:44:13.727,False,Ingen.,,,,,,,,,,
9,10,7,,54,"Forslag til Europa-Parlamentets og Rådets direktiv om foreløbig retshjælp til mistænkte eller tiltalte, der frihedsberøves, og retshjælp i sager angående europæiske arrestordrer","Forslag til Europa-Parlamentets og Rådets direktiv om foreløbig retshjælp til mistænkte eller tiltalte, der frihedsberøves, og retshjælp i sager angående europæiske arrestordrer",O,KOM (2013) 0824,KOM,824,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave 
 den&nbsp;18. december&nbsp;2013, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen 
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse  
<strong>udløb&nbsp;ifølge IPEX&nbsp;12. februar&nbsp;2014.</strong>&nbsp; 
</p>


<div>


<div>


<p>
<a href=""/164373.docid"">Læs</a> 
Kommissionens fremsendelsesbrev   
</p>

</div>

</div>

</div>",,14,,,2016-11-17T13:09:26.873,False,,,,,,,,,,,
10,11,7,,54,Forslag til Europa-Parlamentets og Rådets direktiv om Unionens retlige rammer for toldovertrædelser og -sanktioner {SWD(2013) 513-15 final},Forslag til direktiv om de retlige rammer for toldovertrædelser og -sanktioner,O,KOM (2013) 0884,KOM,884,,"<p>
<strong>Folketinget har den 27. juni 2014 sendt en <a href=""/168099.docid"">begrundet 
 udtalelse</a> til Kommissionen</strong> 
</p>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave     
    den&nbsp;5. juni 2014, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen            
     </strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse   
               <strong>udløb&nbsp;ifølge IPEX&nbsp;31.  
 juli&nbsp;2014.</strong>&nbsp;      
</p>


<div>


<div>


<p>
<a href=""/167660.docid"">Læs</a> 
Kommissionens fremsendelsesbrev    
</p>

</div>

</div>",,14,,,2025-03-07T14:59:13.787,False,,,,,,,,,,,
11,12,10,11.0,20,"Vil udenrigsministeren i lyset af, at danske medier har bragt historien om, hvorledes den palæstinensiske – såkaldte – ambassadør i Tjekkiet er kommet af dage, angiveligt som følge af at han har fumlet med sprængstoffer i sit hjem, oplyse, hvorvidt man agter at undersøge, om den palæstinensiske - såkaldte - ambassadør i Danmark, hr. Amro Alhourani, i sin privatbolig eller på den palæstinensiske repræsentation på H.C. Andersens Boulevard 51 ligeledes er i besiddelse af sprængstoffer og/eller andre våben?",Om den palæstinensiske ambassadør i Tjekkiet.,O,S 729,S,729,,,,32,,,2017-12-05T19:44:13.9,False,Ingen.,,,,,,,,,,
12,13,10,11.0,20,"Vil ministeren redegøre for regeringens udenrigspolitik på narkotikaområdet generelt samt i relation til forhandlingerne i både EU-kredsen og i Commission on Narcotic Drugs forud for den årlige samling i marts 2014 samt den forudgående High Level Segment Session, herunder hvilke områder og målsætninger regeringen prioriterer i forhandlingerne?",Om regeringens udenrigspolitik på narkotikaområdet.,O,S 730,S,730,,,,32,,,2017-12-05T19:44:14.31,False,Ingen.,,,,,,,,,,
13,14,10,11.0,20,"Finder ministeren det acceptabelt, at Norwegian ikke giver kompensation til passagererne ved forsinkelser og aflysninger, jf. www.check-in.dk den 2. december 2013?",Om Norwegian ikke giver kompensation til passagererne ved forsinkelser og aflysninger.,O,S 731,S,731,,,,32,,,2017-12-05T19:44:14.54,False,Ingen.,,,,,,,,,,
